country,year,literacy_rate,gdp_pc,life_exp_yrs,youth_empl_rate,percent_forest_cover,hdi,pop_density
Ghana,2000,57.9,2260,59.3,45.1,39.1,0.485,83.2
Ghana,2001,,2290,59.2,46.0,39.3,0.484,85.4
Ghana,2002,,2330,59.3,46.8,39.4,0.489,87.6
Ghana,2003,,2390,59.5,47.7,39.5,0.491,89.9
Ghana,2004,,2460,59.9,48.6,39.7,0.499,92.2
Ghana,2005,,2540,60.1,49.5,39.8,0.51,94.7
Ghana,2006,,2630,60.5,50.4,39.9,0.519,97.2
Ghana,2007,,2680,60.8,50.0,40.0,0.53,99.8
Ghana,2008,,2850,61.3,49.5,40.2,0.542,102.0
Ghana,2009,,2910,61.7,49.1,40.3,0.547,105.0
Ghana,2010,71.5,3060,62.2,48.7,40.4,0.5539999999999999,108.0
Ghana,2011,,3400,62.9,49.7,40.5,0.563,110.0
Greece,1991,92.6,21100,77.1,31.0,25.8,0.77,80.2
Greece,1992,,21100,77.3,30.4,26.1,0.7709999999999999,81.1
Greece,1993,,20600,77.5,28.8,26.3,0.769,82.0
Greece,1994,,20900,77.7,28.3,26.5,0.772,82.9
Greece,1995,,21200,77.8,28.5,26.8,0.774,83.7
Greece,1996,,21800,78.0,27.6,27.0,0.777,84.4
Greece,1997,,22600,78.1,26.6,27.2,0.782,85.0
Greece,1998,,23400,78.3,29.7,27.5,0.792,85.6
Greece,1999,,24000,78.4,28.7,27.7,0.794,86.0
Greece,2000,,24800,78.6,29.0,27.9,0.8009999999999999,86.4
Greece,2001,96.0,25700,78.9,27.0,28.2,0.8109999999999999,86.8
Greece,2002,,26600,79.1,27.6,28.4,0.823,87.0
Greece,2003,,28100,79.3,26.6,28.6,0.83,87.2
Greece,2004,,29500,79.5,28.3,28.9,0.8390000000000001,87.4
Greece,2005,,29600,79.6,25.4,29.1,0.85,87.7
Greece,2006,,31100,79.9,25.1,29.3,0.855,88.0
Greece,2007,,32100,80.0,25.0,29.6,0.853,88.3
Greece,2008,,31900,80.2,24.3,29.8,0.857,88.6
Greece,2009,,30400,80.3,23.4,30.0,0.8590000000000001,88.8
Greece,2010,,28700,80.4,20.6,30.3,0.86,88.8
Greece,2011,97.3,26100,80.5,16.7,30.5,0.858,88.6
Guatemala,1991,,5170,64.7,53.5,43.8,0.484,88.5
Guatemala,1992,,5290,65.0,53.6,43.3,0.49,90.6
Guatemala,1993,,5370,65.5,53.7,42.8,0.495,92.7
Guatemala,1994,64.2,5460,66.0,53.8,42.3,0.5,94.9
Guatemala,1995,,5600,66.6,53.9,41.8,0.507,97.1
Guatemala,1996,,5640,67.2,54.0,41.3,0.515,99.4
Guatemala,1997,,5750,67.6,54.1,40.8,0.523,102.0
Guatemala,1998,,5900,67.8,54.3,40.3,0.531,104.0
Guatemala,1999,,6000,68.3,54.3,39.8,0.539,106.0
Guatemala,2000,,6070,68.6,54.8,39.3,0.546,109.0
Guatemala,2001,,6070,68.9,55.0,38.8,0.5529999999999999,111.0
Guatemala,2002,69.1,6160,69.3,53.1,38.3,0.56,114.0
Guatemala,2003,,6170,69.5,52.8,37.8,0.564,117.0
Guatemala,2004,,6210,69.7,53.1,37.3,0.5670000000000001,119.0
Guatemala,2005,,6270,69.8,56.0,36.8,0.57,122.0
Guatemala,2006,,6460,70.2,59.0,36.4,0.578,125.0
Guatemala,2007,,6710,70.5,56.8,35.9,0.589,128.0
Guatemala,2008,,6780,70.8,55.1,35.5,0.596,131.0
Guatemala,2009,,6670,71.0,53.3,35.1,0.602,134.0
Guatemala,2010,,6710,71.3,52.0,34.7,0.609,137.0
Guatemala,2011,75.9,6840,71.5,49.6,34.4,0.616,140.0
Guinea,1991,,1090,52.4,44.6,29.4,0.275,25.9
Guinea,1992,,1070,52.5,44.9,29.3,0.278,27.5
Guinea,1993,,1060,52.9,45.1,29.1,0.282,29.2
Guinea,1994,,1040,53.0,45.1,29.0,0.28600000000000003,30.7
Guinea,1995,,1040,53.4,44.9,28.8,0.29,32.0
Guinea,1996,20.6,1060,53.9,45.2,28.7,0.294,33.1
Guinea,1997,,1080,54.1,45.4,28.5,0.302,33.9
Guinea,1998,,1100,54.2,45.4,28.4,0.309,34.6
Guinea,1999,,1120,54.3,45.2,28.2,0.316,35.2
Guinea,2000,,1130,54.7,45.0,28.1,0.322,35.8
Guinea,2001,,1150,54.8,45.1,27.9,0.32899999999999996,36.5
Guinea,2002,,1190,55.1,45.1,27.8,0.33799999999999997,37.2
Guinea,2003,29.7,1180,55.5,44.9,27.7,0.325,37.9
Guinea,2004,,1190,55.8,44.8,27.5,0.34600000000000003,38.6
Guinea,2005,,1200,56.2,44.5,27.4,0.35600000000000004,39.4
Guinea,2006,,1200,56.4,44.4,27.2,0.364,40.2
Guinea,2007,,1200,56.7,44.2,27.1,0.371,41.1
Guinea,2008,,1230,57.2,44.0,26.9,0.376,42.0
Guinea,2009,,1200,57.5,43.7,26.8,0.38,43.0
Guinea,2010,25.3,1190,58.0,43.4,26.6,0.385,43.9
Guinea,2011,,1210,58.5,43.2,26.5,0.396,44.9
Guinea-Bissau,1991,,1610,49.6,52.5,78.5,,36.9
Guinea-Bissau,1992,,1590,49.9,52.6,78.1,,37.8
Guinea-Bissau,1993,,1580,50.3,52.5,77.8,,38.7
Guinea-Bissau,1994,,1600,50.2,52.3,77.4,,39.6
Guinea-Bissau,1995,,1630,50.9,51.8,77.1,,40.4
Guinea-Bissau,1996,,1790,51.2,51.8,76.8,,41.2
Guinea-Bissau,1997,,1870,50.6,51.6,76.4,,42.0
Guinea-Bissau,1998,,1320,50.7,51.4,76.1,,42.7
Guinea-Bissau,1999,,1310,51.2,50.9,75.7,,43.4
Guinea-Bissau,2000,41.4,1360,52.3,50.6,75.4,,44.2
Guinea-Bissau,2001,,1360,52.6,50.1,75.0,,45.1
Guinea-Bissau,2002,,1320,52.9,49.6,74.7,,46.0
Guinea-Bissau,2003,,1300,53.1,49.1,74.4,,47.0
Guinea-Bissau,2004,,1310,53.2,48.4,74.0,,48.0
Guinea-Bissau,2005,,1340,53.2,47.8,73.7,0.38799999999999996,49.1
Guinea-Bissau,2006,,1340,53.8,47.3,73.3,0.39399999999999996,50.2
Guinea-Bissau,2007,,1350,54.3,46.9,73.0,0.39799999999999996,51.4
Guinea-Bissau,2008,,1360,54.5,46.4,72.6,0.401,52.7
Guinea-Bissau,2009,,1370,55.0,45.9,72.3,0.405,54.0
Guinea-Bissau,2010,,1390,55.6,45.5,71.9,0.41,55.3
Guinea-Bissau,2011,55.3,1490,56.2,45.4,71.5,0.41600000000000004,56.8
Guyana,1991,,3000,64.5,37.9,84.6,0.537,3.78
Guyana,1992,,3220,64.8,38.1,84.6,0.552,3.8
Guyana,1993,,3460,65.0,38.3,84.6,0.5660000000000001,3.83
Guyana,1994,,3730,65.0,38.3,84.6,0.5760000000000001,3.85
Guyana,1995,,3900,65.2,37.3,84.5,0.5820000000000001,3.87
Guyana,1996,,4210,65.1,38.2,84.5,0.5920000000000001,3.87
Guyana,1997,,4480,65.2,37.8,84.5,0.597,3.86
Guyana,1998,,4420,65.4,35.9,84.5,0.599,3.85
Guyana,1999,,4560,65.6,37.2,84.5,0.602,3.84
Guyana,2000,,4510,65.6,36.2,84.4,0.606,3.83
Guyana,2001,,4620,65.5,37.1,84.4,0.609,3.82
Guyana,2002,,4670,65.3,36.8,84.4,0.611,3.82
Guyana,2003,,4630,65.0,36.2,84.4,0.613,3.82
Guyana,2004,,4780,64.8,36.3,84.4,0.619,3.82
Guyana,2005,,4690,64.8,35.5,84.3,0.622,3.81
Guyana,2006,,4940,65.0,36.8,84.3,0.62,3.81
Guyana,2007,,5300,65.1,36.9,84.3,0.618,3.8
Guyana,2008,,5410,65.2,35.5,84.3,0.618,3.79
Guyana,2009,85.0,5600,65.4,35.4,84.2,0.618,3.79
Guyana,2010,,5840,65.5,35.3,84.2,0.624,3.79
Guyana,2011,,6130,65.7,35.8,84.2,0.63,3.81
Haiti,1991,,2220,54.2,37.0,4.18,0.408,263.0
Haiti,1992,,1880,54.5,35.7,4.16,0.405,268.0
Haiti,1993,,1810,54.2,34.5,4.13,0.413,273.0
Haiti,1994,,1630,54.6,33.3,4.11,0.41600000000000004,278.0
Haiti,1995,,1680,55.1,33.1,4.08,0.41700000000000004,284.0
Haiti,1996,,1720,55.5,31.9,4.06,0.426,289.0
Haiti,1997,,1730,55.7,30.7,4.03,0.43200000000000005,294.0
Haiti,1998,,1740,56.0,29.7,4.01,0.435,300.0
Haiti,1999,,1750,56.4,28.8,3.98,0.439,305.0
Haiti,2000,,1740,56.8,26.9,3.96,0.44299999999999995,310.0
Haiti,2001,,1690,57.1,26.0,3.93,0.444,315.0
Haiti,2002,,1660,57.5,25.3,3.9,0.447,321.0
Haiti,2003,58.7,1640,57.6,24.6,3.87,0.45,326.0
Haiti,2004,,1560,56.6,23.5,3.84,0.452,331.0
Haiti,2005,,1560,58.0,23.2,3.81,0.455,336.0
Haiti,2006,48.7,1570,58.4,22.2,3.78,0.45799999999999996,341.0
Haiti,2007,,1600,58.9,21.4,3.75,0.462,347.0
Haiti,2008,,1590,59.3,21.6,3.72,0.466,352.0
Haiti,2009,,1610,60.0,22.3,3.69,0.47,358.0
Haiti,2010,,1500,32.1,22.0,3.66,0.47,363.0
Haiti,2011,,1560,60.5,23.5,3.64,0.47700000000000004,368.0
Honduras,1991,,3180,67.6,55.4,71.2,0.509,45.6
Honduras,1992,,3270,67.8,56.8,69.6,0.514,46.9
Honduras,1993,,3370,67.9,56.7,68.0,0.522,48.3
Honduras,1994,,3240,68.3,56.7,66.5,0.525,49.6
Honduras,1995,,3280,68.5,56.6,64.9,0.53,51.0
Honduras,1996,,3300,68.8,55.4,63.4,0.536,52.4
Honduras,1997,,3370,69.0,56.4,61.8,0.5429999999999999,53.9
Honduras,1998,,3380,63.0,55.8,60.2,0.5479999999999999,55.3
Honduras,1999,,3230,69.4,56.0,58.7,0.551,56.8
Honduras,2000,,3330,69.6,54.1,57.1,0.557,58.3
Honduras,2001,80.0,3330,69.7,52.1,56.1,0.561,59.8
Honduras,2002,,3370,69.9,50.2,55.0,0.5660000000000001,61.3
Honduras,2003,,3440,70.0,47.1,53.9,0.5710000000000001,62.9
Honduras,2004,,3570,70.3,44.7,52.8,0.5770000000000001,64.4
Honduras,2005,,3700,70.6,43.6,51.8,0.583,65.9
Honduras,2006,,3850,70.8,46.3,50.7,0.59,67.4
Honduras,2007,83.6,4000,71.1,47.5,49.6,0.597,68.9
Honduras,2008,,4080,71.3,48.4,48.5,0.603,70.4
Honduras,2009,,3900,71.5,49.0,47.5,0.606,71.8
Honduras,2010,84.8,3970,71.6,48.2,46.4,0.611,73.2
Honduras,2011,85.1,4050,71.8,46.5,45.3,0.614,74.6
Hungary,1991,,15100,69.4,35.9,20.2,0.701,114.0
Hungary,1992,,14600,69.4,36.0,20.3,0.706,114.0
Hungary,1993,,14600,69.5,32.2,20.4,0.7190000000000001,114.0
Hungary,1994,99.0,15000,69.8,31.2,20.6,0.733,114.0
Hungary,1995,,15200,70.2,32.0,20.7,0.741,114.0
Hungary,1996,,15300,70.5,28.2,20.8,0.745,114.0
Hungary,1997,,15800,70.8,28.8,21.0,0.747,114.0
Hungary,1998,,16500,71.1,33.2,21.1,0.754,114.0
Hungary,1999,,17100,71.5,34.4,21.2,0.7609999999999999,113.0
Hungary,2000,,17900,71.8,32.4,21.4,0.769,113.0
Hungary,2001,,18600,72.2,31.3,21.5,0.775,113.0
Hungary,2002,,19500,72.5,29.4,21.7,0.784,112.0
Hungary,2003,,20300,72.7,27.1,21.8,0.7929999999999999,112.0
Hungary,2004,99.0,21300,72.9,23.6,22.0,0.795,112.0
Hungary,2005,,22300,73.1,21.8,22.1,0.802,111.0
Hungary,2006,,23200,73.3,21.4,22.3,0.809,111.0
Hungary,2007,,23300,73.6,20.7,22.4,0.812,111.0
Hungary,2008,,23600,73.9,19.7,22.6,0.816,110.0
Hungary,2009,,22100,74.2,17.5,22.5,0.8170000000000001,110.0
Hungary,2010,,22300,74.5,17.6,22.6,0.821,110.0
Hungary,2011,99.0,22700,74.9,17.5,22.6,0.823,109.0
India,1991,48.2,1740,59.4,45.6,21.6,0.43200000000000005,299.0
India,1992,,1800,59.7,45.5,21.6,0.439,305.0
India,1993,,1850,60.0,45.3,21.6,0.445,311.0
India,1994,,1930,60.4,45.3,21.7,0.45299999999999996,317.0
India,1995,,2040,60.8,44.8,21.8,0.46,323.0
India,1996,,2150,61.1,44.2,21.8,0.46799999999999997,329.0
India,1997,,2200,61.3,43.4,21.9,0.474,335.0
India,1998,,2290,61.6,42.9,21.9,0.48100000000000004,342.0
India,1999,,2450,62.0,42.5,21.9,0.489,348.0
India,2000,,2500,62.3,41.7,22.0,0.494,354.0
India,2001,61.0,2570,62.7,41.8,22.1,0.499,360.0
India,2002,,2620,63.1,41.9,22.3,0.505,367.0
India,2003,,2780,63.5,42.2,22.5,0.518,373.0
India,2004,,2960,63.8,42.3,22.6,0.526,379.0
India,2005,,3180,64.2,42.5,22.8,0.536,385.0
India,2006,62.8,3420,64.6,40.7,22.9,0.546,391.0
India,2007,,3700,65.0,39.0,23.1,0.556,397.0
India,2008,,3790,65.4,37.0,23.2,0.563,403.0
India,2009,,4050,65.8,35.5,23.3,0.569,408.0
India,2010,,4410,66.2,33.9,23.5,0.58,414.0
India,2011,62.8,4640,66.6,32.7,23.5,0.59,419.0
Indonesia,1991,,4860,64.1,47.3,64.4,0.528,102.0
Indonesia,1992,,5090,64.5,47.1,63.3,0.534,104.0
Indonesia,1993,,5330,64.9,46.8,62.3,0.545,105.0
Indonesia,1994,,5640,65.3,46.6,61.2,0.5539999999999999,107.0
Indonesia,1995,,6010,65.8,46.2,60.2,0.564,109.0
Indonesia,1996,,6390,66.2,45.9,59.1,0.5770000000000001,110.0
Indonesia,1997,,6590,66.5,45.0,58.0,0.59,112.0
Indonesia,1998,,5650,66.8,45.4,57.0,0.59,114.0
Indonesia,1999,,5610,67.0,45.6,55.9,0.597,115.0
Indonesia,2000,,5810,67.3,45.3,54.9,0.604,117.0
Indonesia,2001,,5930,67.6,45.5,54.7,0.608,118.0
Indonesia,2002,,6120,67.8,44.2,54.5,0.613,120.0
Indonesia,2003,,6320,68.1,44.2,54.4,0.624,122.0
Indonesia,2004,90.4,6550,66.5,42.7,54.2,0.629,123.0
Indonesia,2005,,6830,68.6,40.9,54.0,0.632,125.0
Indonesia,2006,92.0,7100,68.8,40.8,53.6,0.638,127.0
Indonesia,2007,,7450,69.1,41.0,53.3,0.6409999999999999,129.0
Indonesia,2008,92.2,7790,69.3,42.2,52.9,0.645,130.0
Indonesia,2009,92.6,8050,69.6,42.4,52.5,0.6559999999999999,132.0
Indonesia,2010,,8430,69.9,42.3,52.1,0.662,134.0
Indonesia,2011,92.8,8840,70.2,42.0,51.8,0.669,136.0
Iran,1991,65.5,11200,70.3,29.0,5.59,0.59,35.2
Iran,1992,,11400,70.6,28.3,5.6,0.603,35.8
Iran,1993,,11100,70.7,27.6,5.62,0.614,36.2
Iran,1994,,10800,70.8,26.9,5.63,0.623,36.7
Iran,1995,,10900,70.9,26.2,5.65,0.634,37.2
Iran,1996,73.1,11400,71.0,25.6,5.66,0.642,37.8
Iran,1997,,11300,71.1,25.3,5.68,0.648,38.5
Iran,1998,,11400,71.3,25.1,5.69,0.654,39.2
Iran,1999,,11400,71.6,24.9,5.71,0.66,40.0
Iran,2000,,11900,71.6,24.9,5.73,0.6659999999999999,40.6
Iran,2001,,12000,71.6,24.5,5.89,0.674,41.2
Iran,2002,77.0,12800,71.7,25.7,6.06,0.679,41.7
Iran,2003,,13700,70.3,27.1,6.23,0.6859999999999999,42.3
Iran,2004,,14100,72.1,28.4,6.4,0.687,42.7
Iran,2005,82.4,14600,72.5,27.5,6.56,0.6920000000000001,43.2
Iran,2006,82.3,15200,73.0,26.6,6.56,0.7040000000000001,43.7
Iran,2007,,16400,73.4,25.5,6.56,0.716,44.2
Iran,2008,85.0,16400,73.8,23.4,6.56,0.728,44.7
Iran,2009,,16600,74.1,23.1,6.56,0.735,45.2
Iran,2010,,17400,74.5,21.6,6.56,0.745,45.8
Iran,2011,,17900,74.8,21.3,6.56,0.755,46.4
Iraq,1991,,4030,62.8,30.5,1.84,0.527,41.3
Iraq,1992,,5200,65.6,31.0,1.84,0.541,42.5
Iraq,1993,,6580,65.6,31.2,1.85,0.561,43.8
Iraq,1994,,6630,65.5,30.6,1.85,0.561,45.1
Iraq,1995,,6560,65.3,30.3,1.85,0.5529999999999999,46.5
Iraq,1996,,7060,65.3,31.1,1.86,0.5720000000000001,48.0
Iraq,1997,,8300,65.0,30.7,1.86,0.5820000000000001,49.5
Iraq,1998,,10800,65.7,30.0,1.86,0.596,51.1
Iraq,1999,,12400,66.0,29.1,1.87,0.603,52.7
Iraq,2000,74.0,12200,66.0,27.8,1.87,0.607,54.3
Iraq,2001,,12100,66.6,26.9,1.87,0.614,55.8
Iraq,2002,,11000,66.4,26.0,1.88,0.616,57.4
Iraq,2003,,7140,65.0,25.7,1.88,0.603,59.0
Iraq,2004,,10700,65.3,24.8,1.88,0.628,60.6
Iraq,2005,,10900,64.8,25.8,1.89,0.631,62.2
Iraq,2006,,11700,63.9,27.3,1.89,0.636,63.8
Iraq,2007,,11600,64.3,28.8,1.89,0.638,65.4
Iraq,2008,,12200,66.2,30.6,1.89,0.643,67.0
Iraq,2009,,12300,66.9,30.4,1.9,0.6459999999999999,68.8
Iraq,2010,,12700,67.2,30.2,1.9,0.649,70.8
Iraq,2011,78.5,13300,67.6,29.8,1.9,0.6559999999999999,73.0
Israel,1991,,20000,75.9,43.2,6.2,0.794,215.0
Israel,1992,,20400,76.0,43.8,6.29,0.8009999999999999,222.0
Israel,1993,,21000,76.3,48.0,6.39,0.8059999999999999,230.0
Israel,1994,,21900,76.6,51.9,6.49,0.8109999999999999,239.0
Israel,1995,,22700,77.0,52.6,6.59,0.8170000000000001,246.0
Israel,1996,,23500,77.3,52.1,6.68,0.823,254.0
Israel,1997,,23900,77.6,50.3,6.78,0.831,260.0
Israel,1998,,24300,77.9,47.4,6.88,0.8390000000000001,266.0
Israel,1999,,24600,78.2,47.7,6.97,0.845,272.0
Israel,2000,,26100,78.5,48.6,7.07,0.85,278.0
Israel,2001,,25500,78.6,47.1,7.09,0.855,283.0
Israel,2002,,25000,78.5,42.9,7.11,0.863,288.0
Israel,2003,,24900,79.0,42.1,7.13,0.863,293.0
Israel,2004,,25700,79.3,43.8,7.14,0.866,299.0
Israel,2005,,26300,79.7,46.4,7.16,0.87,305.0
Israel,2006,,27400,79.8,46.2,7.15,0.872,312.0
Israel,2007,,28500,80.2,47.0,7.14,0.877,320.0
Israel,2008,,28900,80.5,47.8,7.13,0.8759999999999999,328.0
Israel,2009,,28600,80.9,45.6,7.13,0.878,336.0
Israel,2010,,29600,81.4,45.5,7.12,0.883,343.0
Israel,2011,,30500,81.6,44.7,7.22,0.889,350.0
Italy,1991,,31600,77.1,33.3,26.1,0.773,194.0
Italy,1992,,31800,77.4,30.7,26.3,0.779,194.0
Italy,1993,,31600,77.6,29.3,26.6,0.784,195.0
Italy,1994,,32200,77.8,27.1,26.9,0.7929999999999999,195.0
Italy,1995,,33200,78.1,26.2,27.1,0.799,195.0
Italy,1996,,33600,78.3,25.4,27.4,0.805,195.0
Italy,1997,,34200,78.6,25.1,27.7,0.812,194.0
Italy,1998,,34700,78.9,25.4,27.9,0.818,194.0
Italy,1999,,35200,79.2,25.5,28.2,0.823,194.0
Italy,2000,,36500,79.5,26.0,28.5,0.828,195.0
Italy,2001,98.4,37200,79.8,26.3,28.7,0.836,196.0
Italy,2002,,37200,80.1,25.8,29.0,0.841,197.0
Italy,2003,,37100,80.2,25.3,29.3,0.846,198.0
Italy,2004,,37400,80.6,27.8,29.5,0.851,199.0
Italy,2005,,37600,80.8,25.7,29.8,0.856,200.0
Italy,2006,,38200,81.0,25.3,30.0,0.862,201.0
Italy,2007,,38600,81.2,24.7,30.1,0.866,202.0
Italy,2008,,38000,81.4,24.5,30.3,0.868,202.0
Italy,2009,,35700,81.5,21.7,30.5,0.8690000000000001,203.0
Italy,2010,,36200,81.7,20.3,30.7,0.872,203.0
Italy,2011,99.0,36300,81.8,19.1,30.9,0.877,203.0
Jamaica,1991,,7580,74.5,30.0,31.8,0.6559999999999999,226.0
Jamaica,1992,,7660,74.5,30.2,31.8,0.6579999999999999,228.0
Jamaica,1993,,8300,74.4,29.0,31.7,0.667,230.0
Jamaica,1994,,8330,74.3,32.1,31.7,0.669,232.0
Jamaica,1995,,8450,74.2,28.8,31.6,0.6709999999999999,234.0
Jamaica,1996,,8360,74.1,28.7,31.6,0.675,237.0
Jamaica,1997,,8180,73.9,28.0,31.6,0.677,239.0
Jamaica,1998,,7920,73.9,28.2,31.6,0.6779999999999999,241.0
Jamaica,1999,79.9,7930,73.9,27.9,31.5,0.682,243.0
Jamaica,2000,,7930,73.8,27.8,31.5,0.68,245.0
Jamaica,2001,,7980,73.6,28.3,31.4,0.69,247.0
Jamaica,2002,,8080,73.9,28.9,31.4,0.6940000000000001,249.0
Jamaica,2003,,8330,74.1,33.7,31.4,0.6890000000000001,250.0
Jamaica,2004,,8390,74.3,31.2,31.4,0.706,252.0
Jamaica,2005,,8410,74.7,32.4,31.3,0.7090000000000001,253.0
Jamaica,2006,,8610,74.8,33.6,31.3,0.7140000000000001,255.0
Jamaica,2007,,8680,74.7,34.0,31.2,0.718,256.0
Jamaica,2008,,8570,74.7,32.8,31.2,0.721,258.0
Jamaica,2009,,8150,74.6,32.2,31.2,0.721,259.0
Jamaica,2010,,8000,74.7,31.2,31.1,0.722,260.0
Jamaica,2011,87.0,8100,74.8,30.8,31.1,0.725,261.0
Jordan,1991,,6070,72.1,17.6,1.1,0.63,42.3
Jordan,1992,,6810,72.5,16.6,1.1,0.6509999999999999,44.7
Jordan,1993,,6750,72.5,17.0,1.1,0.662,47.2
Jordan,1994,,6760,72.7,17.9,1.1,0.6729999999999999,49.5
Jordan,1995,,6900,72.7,19.9,1.1,0.687,51.5
Jordan,1996,,6830,72.7,20.4,1.1,0.6890000000000001,53.1
Jordan,1997,,6880,72.8,20.1,1.1,0.693,54.4
Jordan,1998,,6950,72.9,19.9,1.1,0.6970000000000001,55.5
Jordan,1999,,7060,73.0,19.6,1.1,0.7,56.5
Jordan,2000,,7240,73.1,19.2,1.1,0.706,57.5
Jordan,2001,,7480,73.2,19.1,1.1,0.7120000000000001,58.5
Jordan,2002,,7780,73.2,18.0,1.1,0.7170000000000001,59.6
Jordan,2003,89.9,7940,73.1,18.5,1.1,0.723,60.8
Jordan,2004,,8400,73.0,18.5,1.1,0.73,62.4
Jordan,2005,91.1,8800,73.1,18.6,1.1,0.733,64.4
Jordan,2006,,9160,73.8,19.2,1.1,0.736,66.8
Jordan,2007,92.2,9490,74.4,19.8,1.1,0.7390000000000001,69.8
Jordan,2008,,9720,74.8,19.7,1.1,0.742,73.1
Jordan,2009,,9750,75.3,20.0,1.1,0.7390000000000001,76.8
Jordan,2010,92.5,9470,75.8,18.6,1.1,0.737,80.9
Jordan,2011,95.9,9210,76.1,17.2,1.1,0.735,85.3
Kazakhstan,1991,,11500,67.4,52.4,,0.684,6.13
Kazakhstan,1992,,10900,66.8,53.4,1.26,0.682,6.1
Kazakhstan,1993,,10000,66.0,54.9,1.26,0.6759999999999999,6.06
Kazakhstan,1994,,8870,65.1,53.1,1.26,0.6679999999999999,6.01
Kazakhstan,1995,,8280,64.4,52.1,1.26,0.665,5.94
Kazakhstan,1996,,8450,64.1,50.7,1.25,0.6659999999999999,5.86
Kazakhstan,1997,,8730,64.1,50.2,1.25,0.67,5.77
Kazakhstan,1998,,8720,64.3,50.2,1.25,0.672,5.69
Kazakhstan,1999,99.5,9040,64.4,49.4,1.25,0.6759999999999999,5.62
Kazakhstan,2000,,9950,64.6,48.3,1.25,0.685,5.58
Kazakhstan,2001,,11300,64.7,47.5,1.24,0.7,5.57
Kazakhstan,2002,,12400,64.9,42.8,1.24,0.7140000000000001,5.6
Kazakhstan,2003,,13500,64.9,43.4,1.24,0.725,5.64
Kazakhstan,2004,,14700,64.9,42.6,1.24,0.737,5.7
Kazakhstan,2005,,16000,65.0,44.6,1.24,0.747,5.76
Kazakhstan,2006,,17500,65.2,44.2,1.23,0.754,5.81
Kazakhstan,2007,,18900,65.9,43.7,1.23,0.758,5.87
Kazakhstan,2008,,19300,66.8,42.7,1.23,0.758,5.93
Kazakhstan,2009,99.7,19000,67.7,43.0,1.23,0.763,5.99
Kazakhstan,2010,,20100,68.4,42.7,1.23,0.7659999999999999,6.07
Kazakhstan,2011,,21300,69.0,42.3,1.23,0.774,6.17
Kenya,1991,,2340,60.7,45.6,8.1,0.47100000000000003,42.5
Kenya,1992,,2250,59.9,44.9,7.89,0.46799999999999997,43.9
Kenya,1993,,2180,59.0,44.1,7.69,0.46299999999999997,45.3
Kenya,1994,,2180,58.0,43.3,7.48,0.46,46.6
Kenya,1995,,2200,57.3,42.5,7.28,0.45899999999999996,48.0
Kenya,1996,,2230,56.5,41.9,7.07,0.456,49.5
Kenya,1997,,2180,55.9,41.4,6.86,0.452,50.9
Kenya,1998,,2190,55.3,41.0,6.66,0.45,52.3
Kenya,1999,,2180,55.3,40.6,6.45,0.44799999999999995,53.8
Kenya,2000,82.2,2130,55.2,39.1,6.25,0.447,55.3
Kenya,2001,,2150,55.5,37.5,6.42,0.451,56.8
Kenya,2002,,2110,55.7,35.9,6.59,0.45,58.4
Kenya,2003,,2110,56.0,34.3,6.77,0.461,60.0
Kenya,2004,,2160,56.6,32.7,6.94,0.474,61.6
Kenya,2005,,2220,57.4,31.1,7.11,0.483,63.3
Kenya,2006,,2300,58.5,30.8,7.18,0.494,65.1
Kenya,2007,72.2,2400,59.6,30.6,7.24,0.506,66.9
Kenya,2008,,2340,60.6,30.6,7.3,0.514,68.8
Kenya,2009,,2350,61.7,29.4,7.37,0.523,70.7
Kenya,2010,,2480,62.8,29.1,7.43,0.53,72.7
Kenya,2011,,2560,63.8,28.7,7.5,0.536,74.7
Kuwait,1991,,18500,77.2,30.9,0.2,0.6729999999999999,114.0
Kuwait,1992,,50200,78.1,31.4,0.21,0.6659999999999999,108.0
Kuwait,1993,,68600,77.5,31.7,0.22,0.695,99.7
Kuwait,1994,,74400,76.9,31.9,0.23,0.721,93.4
Kuwait,1995,78.4,81000,76.2,28.3,0.23,0.747,90.4
Kuwait,1996,,80500,75.8,30.3,0.24,0.772,91.6
Kuwait,1997,,78400,75.7,30.0,0.25,0.775,96.3
Kuwait,1998,,75900,75.7,30.2,0.26,0.78,103.0
Kuwait,1999,,70000,76.2,30.7,0.26,0.7859999999999999,110.0
Kuwait,2000,,69900,76.5,31.1,0.27,0.7859999999999999,115.0
Kuwait,2001,,68500,76.5,32.4,0.28,0.785,118.0
Kuwait,2002,,69400,76.9,33.1,0.29,0.7879999999999999,120.0
Kuwait,2003,,80500,77.2,33.8,0.3,0.7909999999999999,122.0
Kuwait,2004,,87600,77.1,33.1,0.3,0.789,124.0
Kuwait,2005,93.3,93500,77.0,32.2,0.31,0.787,128.0
Kuwait,2006,93.3,96200,77.0,33.7,0.32,0.787,133.0
Kuwait,2007,93.7,96900,77.1,33.2,0.33,0.787,140.0
Kuwait,2008,93.9,93700,77.2,32.7,0.34,0.7879999999999999,149.0
Kuwait,2009,,81900,77.5,33.4,0.34,0.79,158.0
Kuwait,2010,,75200,78.2,33.2,0.35,0.792,168.0
Kuwait,2011,,77500,78.9,30.6,0.35,0.794,179.0
Kyrgyz Republic,1991,,3150,66.0,44.9,,0.609,23.0
Kyrgyz Republic,1992,,2680,65.7,45.3,4.38,0.599,23.2
